		
,"LISTA DE PRECIOS DELTRON"		
		
,"Generada el :"2026-08-13 11:05:14		
,"Almacen(es) :,'PRINCIPAL-CORPAC','CHICLAYO','TRUJILLO'"		
,"Almacen(es) :"		
,"TIPO DE CAMBIO :3.380"		
,"__________________________________"		
		
		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","ACC, MUEBLES DE COMPUTO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
acc, muebles de computo,"acbolsaterosmun","bolsa teros mundial 50 x 40",>20,3.50, ,"","Y","deltron"		
acc, muebles de computo,"accte8083n","hub usb de 7 puertos teros te-8083n, usb 2.0 de 6puertos y usb 3.0 de 1 puerto[@@@]de",>20,16.00, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
accesorios,"acbolsadltrn","bolsa logo deltron",>20,5.00, ,"","Z","deltron"		
accesorios,"acbolsalnvth","bolsa lenovo 50 x 40 cm org",>20,3.50, ,"","D","deltron"		
accesorios,"acbolsamicrsf","bolsa microsoft 50 x 40 cm org",>20,3.50, ,"","D","deltron"		
accesorios,"acbolsateros1","bolsa teros 1 50 x 40 cm",>20,3.50, ,"","Y","teros"		
accesorios,"acbolsateros2","bolsa teros 2 50 x 40 cm",>20,3.50, ,"","Y","teros"		
accesorios,"acc05bqfil027","pla bq 1,75mm pure white 1kg", ,1100.00, ,"","Y","zz otras marcas"		
accesorios,"acc05bqfil029","pla bq 1,75mm ruby red 1kg", ,1100.00, ,"","Y","zz otras marcas"		
accesorios,"accadvkbsp5737","estuche advance para tablet sp5737 con teclado micro usb, coral[@@@]optimiza tu produ",>20,10.00, ,"","D","advance computer corp"		
accesorios,"accdeltroncita","deltroncita",>20,666.00, ,"","Y","deltron"		
accesorios,"accdgrrasbt2","gorra bluetooth tipo safari",16,8.00, ,"","Y","deltron"		
accesorios,"accgd7177","kids camara printer",>20,23.70, ,"","Z","deltron"		
accesorios,"accgdcalc2807n","gd calculadora negra", ,5.00, ,"","D","deltron"		
accesorios,"accgdcalc2807w","gd calculadora blanca",>20,3.00, ,"","D","deltron"		
accesorios,"accgxf0x02618","lenovo portable aluminum stand",>20,25.40, ,"","Y","lenovo - idea"		
accesorios,"acchp2gu07aa","soporte de altura ajustable hp, vesa 100x100, negro.[@@@]", ,63.50, ,"","W","hp comercial"		
accesorios,"accksheinsilmat","heat insulation repair mat",14,21.20, ,"","C","kaisi"		
accesorios,"acckssprytool20","pry tool repair kit 20-in-1",>20,18.10, ,"","C","strebito"		
accesorios,"acclnervinylrpm","accesorio cleanervinyl rpm, control de velocidad de giro de la barra de discos.[@@@]p", ,94.00, ,"","X","zz otras marcas"		
accesorios,"accmpcablemmaud","cable monoprice mm coaxial a/v", ,1100.00, ,"","X","zz otras marcas"		
accesorios,"accncthpast10gr","noctua nt-h1, pasta compuesta térmica de calidad profesional (10 gr)[@@@]nt-h1 de noc", ,28.60, ,"","C","noctua"		
accesorios,"accnctpnth210gr","noctua nt-h2, pasta compuesta térmica de calidad profesional (10 gr)[@@@]nt-h2 es la ", ,47.20, ,"","C","noctua"		
accesorios,"accndfltscrw720","flat screws kit - 720pcs",2,32.10, ,"","C","nindejin"		
accesorios,"accndpanscrw650","pan screws kit - 650pcs",9,26.00, ,"","C","nindejin"		
accesorios,"accneckfanw","ventilador  de cuello blanco",>20,5.00, ,"","D","deltron"		
accesorios,"accstelcscr144p","strebito 144-in-1 electric screwdriver kit / mini-destornillador electrico de precisi",>20,52.60, ,"","C","strebito"		
accesorios,"accstprecscrw70","mini electric screwdrv 70-in-1",9,57.60, ,"","C","strebito"		
accesorios,"accstscrewset64","micro screwdriver set 64-in-1",7,20.10, ,"","C","strebito"		
accesorios,"accswcammount","swivel camera mount", ,1100.00, ,"","X","zz otras marcas"		
accesorios,"accte8082t","exhibidor smart watch te8082[@@@]el exhibidor smart watch te8082 es un elegante sopor",>20,12.00, ,"","D","teros"		
accesorios,"accthermalpad3p","thermal pad 10cm x 10cm 3-pack", ,1100.00, ,"","X","zz otras marcas"		
accesorios,"acczzdcpowplugs","conector plug cui inc. pp-019, 1.1 / 2.8 mm, niquel, pvc, negro, 100m ohm, 16v/4a.[@@",>20,1.40, ,"","X","zz otras marcas"		
accesorios,"acdltresponmund","deltroncito mundial epson",>20,666.00, ,"","Y","deltron"		
accesorios,"acdltrgdadv","deltroncito tour deltron adv",>20,98.00, ,"","Y","deltron"		
accesorios,"acdltrgdepson","deltroncito epson mund",>20,666.00, ,"","Y","deltron"		
accesorios,"acdltrlenovomun","deltroncito mundial lenovo",>20,666.00, ,"","Y","deltron"		
accesorios,"acdltrterosmund","deltroncito mundial teros",>20,666.00, ,"","Y","deltron"		
accesorios,"acdltrtourgd","deltroncito tour deltron",>20,666.00, ,"","Y","deltron"		
accesorios,"aczzsti85-0200r","symbol synapse adapter", ,110.00, ,"","X","zz otras marcas"		
accesorios,"adv-2026ia","ai kids camera",>20,47.90, ,"","D","advance computer corp"		
accesorios,"gorrodltblue","gorro deltron blue",>20,4.50, ,"","Z","deltron"		
accesorios,"gorrolnvblack","gorro lenovo black",>20,6.00, ,"","Z","lenovo"		
accesorios,"gorrolnvred","gorro lenovo red",>20,4.00, ,"","Z","lenovo - idea"		
accesorios,"gorromscfbrown","gorro microsoft brown",>20,4.00, ,"","Z","microsoft oem"		
accesorios,"gorroterosbwrd","gorro teros brown red",>20,4.00, ,"","Z","teros"		
accesorios,"gorroterosrdbw","gorro teros brown red",>20,4.00, ,"","Z","teros"		
accesorios,"zzaccgd7177","kids camara printer",>20,666.00, ,"","Z","deltron"		
accesorios,"zzchargerfp","charger smaples for feature ph", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzearphonesfp","earphones samples for feature", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzheadphh5500","headphones  usb h5500", ,1100.00, ,"","","zz otras marcas"		
accesorios,"zzheadphjack35","headphones jack 3.5  h5500", ,110.00, ,"","","zz otras marcas"		
accesorios,"zzisdtvuner","isdtv tuner s/m  s/m", ,1100.00, ,"","X","zz otras marcas"		
accesorios,"zznotebookw16-b","13.3 inch apl nitebook white", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zztvtunner-b","digital tv tunner advance, hd, pvr ,micro-usb, compatible con android.[@@@]", ,110.00, ,"","Z","advance computer corp"		
accesorios,"zzusbcable","usb cables for had hard drive", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzusbcablesfp","usb cables samples for feature", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzwifismart701u","free app wifi smart outlet", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzwifismart702u","free app wifi smart outlet", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzwiredheadph","wired headphone jack 3.5  918", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzwritingtablet","lcd writing tablet  10 green", ,1100.00, ,"","Z","zz otras marcas"		
accesorios,"zzzcam720vr","720 vr camera sports", ,1100.00, ,"","D","zz otras marcas"		
accesorios,"zzzsamr20lg","mobile charging suitcase", ,320.00, ,"","Z","zz otras marcas"		
accesorios,"zzzzcase","sample of cases mark: super ca", ,1100.00, ,"","Z","zz otras marcas"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","ACCESORIOS ENSAMBLAJE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
accesorios ensamblaje,"achpgm110aa","kit de cables pci esata hp (gm110aa), para convertir 2 puertos sata internos en exter", ,15.70, ,"","W","hp comercial"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
accesorios usb,"accadptusb3usb2","usb 3.0 headr/usb 2.0 mb adptr", ,1100.00, ,"","C","zz otras marcas"		
accesorios usb,"acctlu320006bk","cable usb 3.0 tripp-lite u320-006-bk, negro, superspeed, a/a, 1.83 mts, 28/24 awg.[@@",>20,3.45, ,"","W","tripp-lite"		
accesorios usb,"acczzmhlhdcable","mhl musb hdmi hdtv cable", ,1100.00, ,"","X","zz otras marcas"		
accesorios usb,"acte70207w","cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",>20,10.10, ,"","D","teros"		
accesorios usb,"acte70209w","cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",>20,1.55, ,"","D","teros"		
accesorios usb,"acte70212w","cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",>20,6.22, ,"","D","teros"		
accesorios usb,"zzte70207wm","adaptador de corriente gan 65w", ,999.00, ,"","Y","western digital"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AIRE ACOND. DE PRECISION","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
aire acond. de precision,"accnsrcool7krm","air cond. smartrack 7000btu 8u",1,766.00, ,"","W","tripp-lite"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","ASTERISK, ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
asterisk, accesorios,"swdgchr-193-01","dialogic hmp lifecycle handling fee[@@@]",1,254.00, ,"","Z","zz otras marcas"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, ACCESORIOS DE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, accesorios de,"accgxd1n63507","lenovo tws yoga pc tidal teal",>20,56.80, ,"","Y","lenovo - idea"		
audio, accesorios de,"accgxd1p47518","auriculares (in-ear) con 3 mics design enc, lenovo tws yoga pc edition, interfaz blue",>20,53.00, ,"","Y","lenovo - idea"		
audio, accesorios de,"accgxd1q65145","auriculares estéreo inalámbricos con microfono lenovo e310 independientes, color blan",>20,18.35, ,"","Y","lenovo - idea"		
audio, accesorios de,"accgxd1q65146","auriculares estéreo inalámbricos con microfono lenovo e310 independientes, color negr",>20,18.35, ,"","Y","lenovo - idea"		
audio, accesorios de,"accore9901","elgato shock mount (soporte de suspensión antivibración)[@@@]audio sin ruidos: reduce",>20,29.00, ,"","D","corsair"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, auricular c/mic,"accgxd1a03963","lenovo legion h600 wl headset",3,72.80, ,"","Y","lenovo - idea"		
audio, auricular c/mic,"acclen4xd1r3139","auriculares lenovo tws (edición x9)[@@@]los auriculares lenovo tws (edición x9) se ha",>20,52.30, ,"","Y","lenovo - thinkpad"		
audio, auricular c/mic,"accte8074gr","audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",1,9.60, ,"","D","teros"		
audio, auricular c/mic,"accte8074n","audífonos tws teros te-8074n, bt 5.3, usb, pantalla digital[@@@]disfruta libertad ina",>20,9.60, ,"","D","teros"		
audio, auricular c/mic,"mmhwte8037n","audífono alámbrico teros te-8037n, usb[@@@]comunícate con claridad usando los audífon",>20,6.80, ,"","D","teros"		
audio, auricular c/mic,"mmhwte8039c","audífono alámbrico teros te-8039c, usb, luces led[@@@]trabaja con total claridad usan",>20,14.50, ,"","D","teros"		
audio, auricular c/mic,"mmlen4xd1p83425","auriculares stereo con micrófono lenovo gen 2, interfaz usb-a[@@@]los auriculares est",>20,23.40, ,"","W","lenovo - thinkpad"		
audio, auricular c/mic,"mmlen4xd1q30302","auriculares inalámbricos stereo con micrófono lenovo, interfaz usb-c[@@@]descubre los",5,46.30, ,"","W","lenovo - thinkpad"		
audio, auricular c/mic,"mmlengxd1e71385","auriculares estereo con microfono lenovo 110, interfaz usb tipo-a, color cloud grey (",>20,30.00, ,"","D","lenovo - idea"		
audio, auricular c/mic,"mmmclogstheh112","auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",>20,18.50, ,"","D","logitech"		
audio, auricular c/mic,"mmtwshte80712n","audífonos inalámbricos teros te-80712n, bluetooth, carga tipo c, negro titanium[@@@]d",>20,10.40, ,"","D","teros"		
audio, auricular c/mic,"mmtwshte80712ne","audífonos inalámbricos teros te-80712ne, bt 5.4, usb[@@@]comodidad sin límites con lo",>20,10.40, ,"","D","teros"		
audio, auricular c/mic,"mmtwshte80712rs","audífonos inalámbricos teros te-80712rs, bt 5.4, usb[@@@]comodidad sin límites con lo",>20,10.50, ,"","D","teros"		
audio, auricular c/mic,"mmtwshte80712w","audífonos inalámbricos teros te-80712w, bluetooth, carga tipo c, blanco titanium[@@@]",1,10.40, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, AURICULAR C/MIC GM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, auricular c/mic gm,"accgxd1p46879","auriculares lenovo gaming h110",>20,20.00, ,"","Y","lenovo - idea"		
audio, auricular c/mic gm,"mmhste8170n","auriculares gaming teros te-8170n, usb, luces rgb[@@@]domina la partida con el headse",>20,18.70, ,"","D","teros"		
audio, auricular c/mic gm,"mmhste8171n","auriculares gaming teros te-8171n, usb, luces rgb[@@@]sonido inmersivo y compatibilid",>20,10.20, ,"","D","teros"		
audio, auricular c/mic gm,"mmlengxd0t69863","auriculares lenovo gaming legion h300[@@@]los auriculares estéreo para juegos legion ",>20,47.00, ,"","W","lenovo - idea"		
audio, auricular c/mic gm,"mmlengxd1n40797","auriculares intrauditivos (in-ear) para juegos, lenovo legion e510 7.1 rgb[@@@]experi",>20,39.30, ,"","Y","lenovo - idea"		
audio, auricular c/mic gm,"mmlengxd1p46880","auriculares con micrófono lenovo h210 gaming[@@@]los auriculares con micrófono lenovo",>20,33.50, ,"","Y","lenovo - idea"		
audio, auricular c/mic gm,"mmlengxd1r34013","auriculares inalámbricos para juegos lenovo legion h410[@@@]sonido envolvente y rendi", ,57.00, ,"","Y","lenovo - idea"		
audio, auricular c/mic gm,"mmlgtc002069","auriculares gaming logitech g astro a10 gen 2, orientados a xbox, windows, mac[@@@]lo",>20,36.70, ,"","F","logitech"		
audio, auricular c/mic gm,"zzlgtc002055amd","auriculares astroa10 para amd",>20,999.00, ,"","D","amd-advanced micro device"		
audio, auricular c/mic gm,"zzlgtc002069amd","auriculares astroa10 para amd",>20,999.00, ,"","D","amd-advanced micro device"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, AURICULAR INALAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, auricular inalam,"mmhwte8038n","audífono inalámbrico anc teros te-8038n, bt 5.4, usb, anc[@@@]silencio y música pura ",>20,18.40, ,"","D","teros"		
audio, auricular inalam,"mmhwte8038ne","audífono inalámbrico anc teros te-8038ne, bt 5.4,usb, anc[@@@]silencio y música pura ",>20,18.40, ,"","D","teros"		
audio, auricular inalam,"mmhwte8038rs","audífono inalámbrico anc teros te-8038rs, bt 5.4,usb, anc[@@@]silencio y música pura ",>20,18.40, ,"","D","teros"		
audio, auricular inalam,"mmhwte8038w","audífono inalámbrico anc teros te-8038w, bt 5.4, usb, anc[@@@]silencio y música pura ",>20,18.40, ,"","D","teros"		
audio, auricular inalam,"zzte8038amd","audifono te-8038 teors by amd",>20,666.00, ,"","D","amd-advanced micro device"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, MICROFONO USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, microfono usb,"mpcmtg009usbblk","cmteck usb computer microphone",2,19.60, ,"","C","zz otras marcas"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","AUDIO, PARLANTE INALAMBRC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
audio, parlante inalambrc,"mmspte6013n","parlante karaoke inalámbrico teros te-6013n, bt 5.4, 10w, 1800mah, usb, luces rgb[@@@",>20,11.60, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6018r","parlante inalámbrico navideño teros te-6018r, bt 5.3, 5w, 1200mah, usb[@@@]dale espír",>20,6.20, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6045b","parlante teros te-6045b, color azul, 60 w[@@@]potencia tu música con el parlante blue",3,41.10, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6045n","parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu", ,41.40, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6046g","parlante ultra te-6046g, color verde militar camuflado, 40 w[@@@]disfruta de la mejor", ,25.00, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6046n","parlante ultra te-6046n, color negro, 40 w[@@@]disfruta de un sonido potente con el p", ,25.00, ,"","D","teros"		
audio, parlante inalambrc,"mmspte6047n","parlante inalámbrico teros te6047n, 20w, bt: 5.3,iluminación rgb, color negro[@@@]dis",1,21.20, ,"","D","teros"		
audio, parlante inalambrc,"mmteleg6051bg","parlante inalámbrico teros legacy leg-6051bg, bt 5.3, 8w, 1500 mah, usb[@@@]estilo re",>20,11.30, ,"","D","teros"		
audio, parlante inalambrc,"mmteleg6051gr","parlante inalámbrico teros legacy leg-6051gr, bt 5.3, 8w, 1500 mah, usb[@@@]estilo re",>20,11.30, ,"","D","teros"		
audio, parlante inalambrc,"mmteleg6052bg","parlante inalámbrico teros legacy leg-6052bg, bt 5.3, 40 w, 4000 mah, usb[@@@]revive ",>20,26.80, ,"","D","teros"		
